Specimen_ID,Latitude,Longitude,Country,Species,Sex,ddRADseq data,mtDNA data,mtHaplotype,Population_assignment,Subpopulation_assignment,Date_collected
Pr_1948,35.86,4.75,Algeria,Pieris rapae,M,Yes,Yes,Pra35,1,NA,2013
Pr_1946,35.19,1.13,Algeria,Pieris rapae,F,Yes,Yes,Pra2,1,NA,28-May-09
Pr_2030,35.22,4.19,Algeria,Pieris rapae,F,Yes,Yes,Pra68,1,1.1,2-Dec-11
Pr_2017,36.33,5.36,Algeria,Pieris rapae,M,Yes,Yes,Pra1,1,1.1,11-May-12
Pr_2018,35.33,4.3,Algeria,Pieris rapae,F,Yes,Yes,Pra25,1,1.1,11-May-12
Pr_2016,36.26,5.25,Algeria,Pieris rapae,F,Yes,Yes,Pra35,1,1.1,12-May-12
Pr_2015,36.59,4.61,Algeria,Pieris rapae,M,Yes,Yes,Pra2,1,1.1,18-May-12
Pr_1915,36.45,4.11,Algeria,Pieris rapae,M,Yes,Yes,Pra25,1,1.1,27-May-12
Pr_1916,36.63,4.6,Algeria,Pieris rapae,M,Yes,Yes,Pra2,1,1.1,16-Jun-12
Pr_1925,33.1,6.09,Algeria,Pieris rapae,M,Yes,Yes,Pra35,1,1.1,7-Mar-13
Pr_1947,35.75,4.55,Algeria,Pieris rapae,F,Yes,Yes,Pra25,1,1.1,10-Mar-13
Pr_2006,36.91,7.76,Algeria,Pieris rapae,M,Yes,Yes,Pra2,1,NA,4-Apr-15
Pr_915,-31.99,115.9,Australia,Pieris rapae,M,Yes,Yes,Pra2,3,NA,4-Oct-14
Pr_914,-31.99,115.9,Australia,Pieris rapae,M,Yes,Yes,Pra1,3,NA,7-Nov-14
Pr_911,-31.99,115.9,Australia,Pieris rapae,M,Yes,Yes,Pra1,3,NA,8-Nov-14
Pr_913,-31.99,115.9,Australia,Pieris rapae,M,Yes,Yes,Pra1,3,NA,8-Nov-14
Pr_910,-31.99,115.9,Australia,Pieris rapae,M,No,Yes,Pra1,NA,NA,8-Nov-14
Pr_912,-31.99,115.9,Australia,Pieris rapae,M,Yes,Yes,Pra1,NA,NA,8-Nov-14
Pr_916,-31.98,115.92,Australia,Pieris rapae,F,Yes,Yes,Pra1,3,NA,15-Nov-14
Pr_1121,-34.75,149.72,Australia,Pieris rapae,M,Yes,Yes,Pra51,3,3.1,7-Jan-15
Pr_1115,-34.75,149.72,Australia,Pieris rapae,F,Yes,Yes,Pra1,NA,NA,7-Jan-15
Pr_1119,-34.75,149.72,Australia,Pieris rapae,F,No,Yes,Pra14,NA,NA,7-Jan-15
Pr_1078,-37.89,145.34,Australia,Pieris rapae,M,Yes,Yes,Pra1,3,3.3,11-Jan-15
Pr_1086,-37.96,145.23,Australia,Pieris rapae,F,Yes,Yes,Pra1,3,3.3,18-Jan-15
Pr_1093,-38.05,145.1,Australia,Pieris rapae,M,Yes,Yes,Pra1,3,3.3,18-Jan-15
Pr_1098,-37.9,145.28,Australia,Pieris rapae,F,Yes,Yes,Pra14,NA,NA,20-Jan-15
Pr_1308,-37.86,145.07,Australia,Pieris rapae,F,Yes,Yes,Pra1,3,3.3,29-Jan-15
Pr_1326,-37.86,144.98,Australia,Pieris rapae,F,Yes,Yes,Pra1,3,3.3,30-Jan-15
Pr_1211,-34.74,150.82,Australia,Pieris rapae,F,Yes,Yes,Pra14,3,3.1,1-Feb-15
Pr_1327,-37.84,145.03,Australia,Pieris rapae,M,Yes,Yes,Pra1,3,3.3,2-Feb-15
Pr_1333,-37.88,145.14,Australia,Pieris rapae,F,Yes,Yes,Pra1,3,3.3,4-Feb-15
Pr_1109,-34.75,149.72,Australia,Pieris rapae,F,Yes,Yes,Pra14,3,3.1,7-Feb-15
Pr_1120,-34.75,149.72,Australia,Pieris rapae,M,Yes,Yes,Pra14,3,3.1,7-Feb-15
Pr_1289,-37.85,145.21,Australia,Pieris rapae,F,Yes,Yes,Pra1,NA,NA,7-Feb-15
Pr_1282,-37.87,145.12,Australia,Pieris rapae,F,Yes,Yes,Pra1,3,3.3,10-Feb-15
Pr_1214,-33.62,150.31,Australia,Pieris rapae,M,Yes,Yes,Pra14,NA,NA,1-Mar-15
Pr_1213,-34.74,150.82,Australia,Pieris rapae,F,Yes,Yes,Pra14,3,3.1,12-Mar-15
