gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3923686311	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/22152969/original.jpg	https://www.inaturalist.org/photos/22152969					2018-07-29T16:40:05Z	David Cappaert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Cappaert
3915255947	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231935073/original.jpeg	https://www.inaturalist.org/photos/231935073					2022-09-21T17:04:08Z	James Sullivan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	James Sullivan
3903622847	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/228063089/original.jpg	https://www.inaturalist.org/photos/228063089					2022-09-04T02:14:00Z	privatenoaccess		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	privatenoaccess
3903230484	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/225704605/original.jpeg	https://www.inaturalist.org/photos/225704605					2022-08-27T04:00:13Z	Greg Cudworth		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Greg Cudworth
3903202130	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/226042692/original.jpeg	https://www.inaturalist.org/photos/226042692					2022-07-12T07:43:25Z	Larry Clarfeld		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Larry Clarfeld
3903148270	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/226250608/original.jpg	https://www.inaturalist.org/photos/226250608					2022-08-15T05:43:42Z	hwise01		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hwise01
3902884617	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/225170093/original.jpg	https://www.inaturalist.org/photos/225170093					2022-08-25T06:00:01Z	Bo Zaremba		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bo Zaremba
3902797648	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/224140244/original.jpeg	https://www.inaturalist.org/photos/224140244					2022-08-21T06:32:49Z	Bees Knees		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bees Knees
3902766267	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/224651153/original.jpeg	https://www.inaturalist.org/photos/224651153					2022-08-20T14:13:02Z	chris buelow		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	chris buelow
3902763167	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/225158563/original.jpeg	https://www.inaturalist.org/photos/225158563					2022-08-21T08:14:35Z	Chrissy McClarren and Andy Reago		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Chrissy McClarren and Andy Reago
3902671619	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/224138243/original.jpeg	https://www.inaturalist.org/photos/224138243					2022-08-21T05:21:03Z	Bees Knees		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bees Knees
3902651258	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/224145357/original.jpeg	https://www.inaturalist.org/photos/224145357					2022-08-21T06:46:01Z	Angelique Jermac		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Angelique Jermac
3902651258	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/224145390/original.jpeg	https://www.inaturalist.org/photos/224145390					2022-08-21T06:47:17Z	Angelique Jermac		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Angelique Jermac
3902651258	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/224145374/original.jpeg	https://www.inaturalist.org/photos/224145374					2022-08-21T06:47:33Z	Angelique Jermac		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Angelique Jermac
3902551593	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/223385211/original.jpeg	https://www.inaturalist.org/photos/223385211					2022-08-17T03:18:49Z	ttilotta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ttilotta
3902537371	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/223377492/original.jpeg	https://www.inaturalist.org/photos/223377492					2022-08-16T04:19:34Z	Woolcarderbee		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Woolcarderbee
3902470915	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/223580301/original.jpg	https://www.inaturalist.org/photos/223580301					2022-08-18T22:47:08Z	randall228		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	randall228
3902470915	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/223580291/original.jpg	https://www.inaturalist.org/photos/223580291					2022-08-18T22:46:43Z	randall228		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	randall228
3902434320	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/224113773/original.jpg	https://www.inaturalist.org/photos/224113773					2022-08-21T01:59:25Z	maryland_adventure_babe		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	maryland_adventure_babe
3902434320	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/224113757/original.jpg	https://www.inaturalist.org/photos/224113757					2022-08-21T01:59:25Z	maryland_adventure_babe		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	maryland_adventure_babe
3902397699	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/221126506/original.jpg	https://www.inaturalist.org/photos/221126506					2022-07-23T04:28:00Z	Scott Klingensmith		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Scott Klingensmith
