gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
3923686311																										14842059										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-28T16:46:23Z			https://www.inaturalist.org/observations/14842059					David Cappaert												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/14842059	14842059		David Cappaert						larva																											2018-07-28T13:48:00-03:00	13:48:00-03:00						2018/07/28 1:48 PM -0400																US	Connecticut				198-34 Auer Farm Rd, Bloomfield, CT 06002, USA												41.8120255	-72.7722902	EPSG:4326	188																																		32123089				David Cappaert		2018-07-28T18:23:07Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
3915255947																										135940868										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-24T11:25:58Z			https://www.inaturalist.org/observations/135940868					James Sullivan												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/135940868	135940868		James Sullivan						adult																											2022-09-21T10:04:00-04:00	10:04:00-04:00						2022/09/21 10:04 AM																US	Georgia				Itseyi												34.6488757818	-83.3013176545	EPSG:4326	4																																		299459095				James Sullivan		2022-09-21T18:03:51Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
3903622847																										133854306										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-07T01:33:48Z			https://www.inaturalist.org/observations/133854306					privatenoaccess												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 27908m at the request of the observer			https://www.inaturalist.org/observations/133854306	133854306		privatenoaccess						adult																											2022-09-03T22:14:00-04:00	22:14:00-04:00						2022/09/03 10:14 PM																US	New York				New York, US												40.6324832942	-73.6956010247	EPSG:4326	27908																																		294909685				privatenoaccess		2022-09-06T00:45:25Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
3903230484																										132546248										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-03T01:48:36Z			https://www.inaturalist.org/observations/132546248					Greg Cudworth												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/132546248	132546248		Greg Cudworth																						portage park districts moth lighting											2022-08-26T21:00:00-04:00	21:00:00-04:00						2022/08/26 9:00 PM																US	Ohio				Portage County, OH, USA												41.1899020054	-81.2447340857	EPSG:4326	8																																		292195746				Greg Cudworth		2022-08-28T10:58:12Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
3903202130																										132767153										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-03T01:48:31Z			https://www.inaturalist.org/observations/132767153					Larry Clarfeld												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/132767153	132767153		Larry Clarfeld																																	2022-07-12T00:43:00-04:00	00:43:00-04:00						2022/07/12 12:43 AM																US	Vermont				Malletts Bay, Burlington, VT, USA												44.551	-73.257	EPSG:4326	100																																		292553923				Larry Clarfeld		2022-08-29T03:51:35Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
3903148270																										132881222										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-03T01:48:22Z			https://www.inaturalist.org/observations/132881222					hwise01												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/132881222	132881222		hwise01						adult																											2022-08-14T22:43:00-04:00	22:43:00-04:00						2022/08/14 10:43 PM																US	Michigan				odell rd, fowlerville MI												42.572554	-84.134743	EPSG:4326	100																																		292810981				hwise01		2022-08-29T22:40:56Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
3902884617																										132240160										http://creativecommons.org/licenses/by-nc/4.0/			2022-08-26T22:57:37Z			https://www.inaturalist.org/observations/132240160					Bo Zaremba												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/132240160	132240160		Bo Zaremba																																	2022-08-24T23:00:00-04:00	23:00:00-04:00						2022/08/24 11:00 PM																US	Massachusetts				Newburyport, MA 01950, USA												42.8062445	-70.8744428	EPSG:4326	190																																		291585086				Bo Zaremba		2022-08-25T05:31:00Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
3902797648																										131688129										http://creativecommons.org/licenses/by-nc/4.0/			2022-08-23T06:02:22Z			https://www.inaturalist.org/observations/131688129					Bees Knees												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/131688129	131688129		Bees Knees																																	2022-08-20T23:32:49-05:00	23:32:49-05:00						2022-08-20 23:32:49																US	Minnesota				Hamel mn												45.0408360721	-93.5253597423	EPSG:4326	525																																		290397926				Bees Knees		2022-08-21T04:39:17Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
3902766267																										132059760										http://creativecommons.org/licenses/by-nc/4.0/			2022-08-26T22:57:50Z			https://www.inaturalist.org/observations/132059760					chris buelow												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/132059760	132059760		chris buelow																																	2022-08-20T07:13:00-04:00	07:13:00-04:00						2022/08/20 7:13 AM																US	Massachusetts				Hardwick, MA, USA												42.3426333333	-72.2335183333	EPSG:4326																																			291195874				chris buelow		2022-08-23T21:02:19Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
3902763167																										132234503										http://creativecommons.org/publicdomain/zero/1.0/			2022-08-26T22:57:38Z			https://www.inaturalist.org/observations/132234503					Chrissy McClarren and Andy Reago												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 28240m at the request of the observer			https://www.inaturalist.org/observations/132234503	132234503		Chrissy McClarren and Andy Reago																																	2022-08-21T01:14:00-05:00	01:14:00-05:00						2022/08/21 1:14 AM																US	Missouri				Missouri, US												38.4796854035	-90.3559836665	EPSG:4326	28240																																		291572819				Chrissy McClarren and Andy Reago		2022-08-25T04:08:32Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
