gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3925511322	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235779114/original.jpg	https://www.inaturalist.org/photos/235779114					2022-10-08T16:39:21Z	carolyns4		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	carolyns4
3923719461	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/192928508/original.jpg	https://www.inaturalist.org/photos/192928508					2022-05-01T11:24:08Z	Steven Lamonde		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Steven Lamonde
3923645502	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/198724891/original.jpeg	https://www.inaturalist.org/photos/198724891					2022-05-02T20:32:50Z	Steven Lamonde		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Steven Lamonde
3923502331	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/66061416/original.jpg	https://www.inaturalist.org/photos/66061416					2020-04-07T16:40:46Z	David Cappaert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Cappaert
3923468850	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233620140/original.jpg	https://www.inaturalist.org/photos/233620140					2022-09-28T21:03:04Z	jbutnor		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jbutnor
3923295501	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/200102158/original.jpeg	https://www.inaturalist.org/photos/200102158					2022-05-24T01:07:26Z	maryhannah		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	maryhannah
3915535333	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/232170217/original.jpg	https://www.inaturalist.org/photos/232170217					2022-09-22T16:05:16Z	Richard Waite		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Richard Waite
3915286258	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233050617/original.jpeg	https://www.inaturalist.org/photos/233050617					2022-08-25T22:12:34Z	Lauren Glevanik		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lauren Glevanik
3912347449	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/230408295/original.jpg	https://www.inaturalist.org/photos/230408295					2022-09-08T14:25:17Z	ryleighwehler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ryleighwehler
3912316304	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/8440658/original.jpeg	https://www.inaturalist.org/photos/8440658					2017-06-10T17:28:32Z	Andy Newman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy Newman
3912131238	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231025122/original.jpeg	https://www.inaturalist.org/photos/231025122					2022-09-17T21:24:05Z	Mark Apgar		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Mark Apgar
3903516704	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/228720820/original.jpeg	https://www.inaturalist.org/photos/228720820					2022-09-08T19:45:48Z	Lynn Harper		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Lynn Harper
3903146777	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/226595654/original.jpg	https://www.inaturalist.org/photos/226595654					2022-08-31T10:38:05Z	e4550		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	e4550
3903035200	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/223752431/original.jpeg	https://www.inaturalist.org/photos/223752431					2022-08-16T12:45:17Z	cobrien207		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cobrien207
3902829981	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/225068997/original.jpeg	https://www.inaturalist.org/photos/225068997					2013-06-23T00:00:00Z	Matt Tillett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Matt Tillett
3902612488	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/226126557/original.jpg	https://www.inaturalist.org/photos/226126557					2022-08-24T17:17:59Z	New England Forestry Foundation		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	New England Forestry Foundation
3902511174	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/223800769/original.jpeg	https://www.inaturalist.org/photos/223800769					2022-08-19T17:30:42Z	Lynn Harper		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Lynn Harper
3902361343	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/205945224/original.jpeg	https://www.inaturalist.org/photos/205945224					2022-06-12T18:11:58Z	Will Bennett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Will Bennett
3902272221	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/222827078/original.jpg	https://www.inaturalist.org/photos/222827078					2022-08-13T20:53:48Z	titus9		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	titus9
