gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
3925176641																										136111650										http://creativecommons.org/licenses/by-nc/4.0/			2022-10-07T20:25:14Z			https://www.inaturalist.org/observations/136111650					arriamg												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/136111650	136111650		arriamg																						Bugs on a light outside my house.											2022-09-22T20:28:00-04:00	20:28:00-04:00						2022/09/22 8:28 PM																US	Virginia				5833 25th Rd N, Arlington, VA 22207, USA												38.8959819	-77.1467413	EPSG:4326	184																																		303836965				Lorin Timaeus		2022-10-07T14:12:31Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
3925152482																										112173587										http://creativecommons.org/licenses/by-nc/4.0/			2022-10-06T07:19:24Z			https://www.inaturalist.org/observations/112173587					kaypeace527												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/112173587	112173587		kaypeace527																																	2022-04-20T13:49:12-04:00	13:49:12-04:00						2022-04-20 13:49:12																US	Georgia				Morrow, GA 30260, USA												33.59129603	-84.32769515	EPSG:4326	6																																		251035233				kaypeace527		2022-04-20T18:53:46Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
3925119665																										136524375										http://creativecommons.org/licenses/by-nc/4.0/			2022-10-06T05:43:48Z			https://www.inaturalist.org/observations/136524375					Cherie Cornmesser												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/136524375	136524375		Cherie Cornmesser																																	2022-09-25T21:49:41-04:00	21:49:41-04:00						2022-09-25 21:49:41																US	Pennsylvania				Verona Rd + Brinley, Penn Hills, PA 15147, USA												40.484129	-79.837342	EPSG:4326																																			300712998				Cherie Cornmesser		2022-09-26T01:56:40Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
3923706635																										137517883										http://creativecommons.org/licenses/by-nc/4.0/			2022-10-04T15:13:08Z			https://www.inaturalist.org/observations/137517883					Claire O'Neill												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/137517883	137517883		Claire O'Neill					male	adult																											2022-09-11T22:46:00-04:00	22:46:00-04:00						2022/09/11 10:46 PM																US	Massachusetts				Spring Hill, Somerville, MA, USA												42.3865359092	-71.1084190622	EPSG:4326	1																																		303013047				Lorin Timaeus		2022-10-04T13:10:06Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
3915532807																										136360110										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-25T23:11:41Z			https://www.inaturalist.org/observations/136360110					Bo Zaremba												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/136360110	136360110		Bo Zaremba																																	2022-09-14T22:40:00-04:00	22:40:00-04:00						2022/09/14 10:40 PM																US	Massachusetts				Newburyport, MA 01950, USA												42.8062445	-70.8744428	EPSG:4326	190																																		300362084				Bo Zaremba		2022-09-25T00:17:49Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
3915518339																										136228199										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-24T19:35:51Z			https://www.inaturalist.org/observations/136228199					Carol												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/136228199	136228199		Carol																						Red eyes. A spot near the terminal end of each wing.											2022-09-23T14:35:00-04:00	14:35:00-04:00						2022/09/23 2:35 PM																US	Maine				Roque Bluffs, ME 04654, USA												44.5983194392	-67.4601809377	EPSG:4326	2																																		300104721				Carol		2022-09-24T01:49:00Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
3915314724																										135868352										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-21T05:21:12Z			https://www.inaturalist.org/observations/135868352					J Mollenhauer												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 28060m at the request of the observer			https://www.inaturalist.org/observations/135868352	135868352		J Mollenhauer																						Attracted to UV light at night in a residential neighborhood.											2022-09-17T22:31:00-04:00	22:31:00-04:00						2022/09/17 10:31 PM																US	New Jersey				New Jersey, US												39.7513239941	-75.1256340421	EPSG:4326	28060																																		299299816				J Mollenhauer		2022-09-21T02:37:50Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
3912149933																										134534416										http://creativecommons.org/licenses/by/4.0/			2022-09-23T17:50:06Z			https://www.inaturalist.org/observations/134534416					Randy A Nonenmacher												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/134534416	134534416		Randy A Nonenmacher																																	2022-09-10T23:26:00-04:00	23:26:00-04:00						2022/09/10 11:26 PM																US	New York				Shepard Settlement, Onondaga County, NY, USA												42.9913918639	-76.370633567	EPSG:4326	4																																		296386256				Randy A Nonenmacher		2022-09-11T04:19:02Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
3911975969																										134256045										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-15T20:39:08Z			https://www.inaturalist.org/observations/134256045					Hunter												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/134256045	134256045		Hunter						adult																											2022-09-08T21:44:58-04:00	21:44:58-04:00						2022-09-08 21:44:58-04:00																US	Indiana				Purdue University, West Lafayette, IN, US												40.424755	-86.9264666667	EPSG:4326	48																																		295799459				Hunter		2022-09-09T02:58:30Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
3903280598																										133352161										http://creativecommons.org/licenses/by-nc/4.0/			2022-09-07T22:33:33Z			https://www.inaturalist.org/observations/133352161					Warren Lussier												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 27253m at the request of the observer			https://www.inaturalist.org/observations/133352161	133352161		Warren Lussier																																	2022-09-02T12:40:39-04:00	12:40:39-04:00						2022-09-02 12:40:39																US	Vermont				United States												44.997058222	-73.1756680616	EPSG:4326	27253																																		293863714				Warren Lussier		2022-09-02T16:43:58Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
